,u,v,distance(m),street type,speed(km/h)
4434,2193369809,6167266607,9.0,1,15.0
4435,2193369809,6167441085,10.0,2,20.0
4436,2193369809,2347267470,14.0,1,15.0
4437,581708500,581708504,109.0,1,15.0
4438,591407828,4520380446,4.0,1,15.0
4439,591407828,259132676,257.0,1,15.0
4440,3268160215,576841938,16.0,0,10.0
4441,3268160215,3268160222,82.0,2,20.0
4442,581708504,581708500,109.0,0,10.0
4443,581708504,581709563,202.0,1,15.0
4445,3268160222,3268160207,17.0,1,15.0
4446,3268160222,3268160215,82.0,1,15.0
4447,4315294431,4315294433,1.0,1,15.0
4448,4315294431,6167417905,6.0,2,20.0
4449,4315294432,2174963245,5.0,2,20.0
4450,4315294432,4315294431,2.0,1,15.0
4451,4315294433,4315294432,1.0,0,10.0
4452,4315294433,4315294438,15.0,0,10.0
4453,4315294434,6167417904,7.0,2,20.0
4454,4315294434,4315294433,4.0,1,15.0
4455,4315294435,4315294436,6.0,0,10.0
4456,4315294435,4315294432,7.0,1,15.0
4457,4315294436,2174950855,5.0,2,20.0
4458,4315294436,2174966072,7.0,2,20.0
4459,4315294437,4315294438,1.0,0,10.0
4460,4315294437,4315294436,7.0,2,20.0
4461,4315294438,4315294440,2.0,1,15.0
4462,4315294438,4315294439,4.0,0,10.0
4463,4315294439,4315294434,15.0,1,15.0
4464,4315294439,2174950856,6.0,0,10.0
4465,4315294440,6167417898,5.0,1,15.0
4466,4315294440,4315294437,2.0,1,15.0
4467,400753602,571460093,241.0,1,15.0
4468,400753602,400753610,20.0,2,20.0
4469,400753602,580001776,85.0,1,15.0
4470,1271016162,306968245,47.0,1,15.0
4472,1271016162,6197209814,2.0,1,15.0
4474,3810929386,4313862241,7.0,2,20.0
4475,3810929386,3810929385,54.0,0,10.0
4476,3810929386,1463620444,40.0,1,15.0
4477,3810929385,3810929386,54.0,1,15.0
4478,3810929393,3810929388,38.0,1,15.0
4479,3810929393,248746970,51.0,0,10.0
4480,3810929393,2689171271,40.0,1,15.0
4481,1271016180,253027670,17.0,1,15.0
4483,1271016180,253027669,12.0,1,15.0
4485,3810929388,3810929393,38.0,1,15.0
4486,3810929388,356093575,12.0,2,20.0
4487,3810929388,3810929387,91.0,1,15.0
4490,3810929405,419481485,53.0,1,15.0
4491,591407871,591407730,17.0,2,20.0
4492,591407871,6206873033,68.0,2,20.0
4493,3810929408,3810929409,36.0,1,15.0
4494,3810929408,577455294,31.0,0,10.0
4495,3810929408,266739856,56.0,1,15.0
4496,3810929409,3810929408,36.0,0,10.0
4497,3810929409,3810929407,70.0,2,20.0
4498,3810929409,266739818,46.0,1,15.0
4499,3810929407,248746945,32.0,1,15.0
4500,3810929407,3810929409,70.0,1,15.0
4501,3810929407,248746943,73.0,2,20.0
4502,400753610,400753614,30.0,0,10.0
4503,400753610,400753602,20.0,2,20.0
4504,400753610,3777872793,709.0,2,20.0
4505,400753610,3777872792,284.0,2,20.0
4506,400753614,560997595,141.0,1,15.0
4507,613296935,131247470,28.0,2,20.0
4508,613296933,131238813,57.0,2,20.0
4509,317729584,603633283,104.0,0,10.0
4510,317729584,6167489396,3.0,2,20.0
4511,317729584,55725841,194.0,2,20.0
4512,317729593,703554589,21.0,2,20.0
4513,317729593,317729767,20.0,1,15.0
4514,317729594,317729599,21.0,2,20.0
4515,317729594,703554590,18.0,0,10.0
4516,317729599,317729593,73.0,1,15.0
4517,317729599,317729594,21.0,1,15.0
4518,1404234339,1404234341,42.0,1,15.0
4519,1404234339,1404234343,28.0,1,15.0
4520,1404234339,5172636087,39.0,0,10.0
4521,1404234339,248746705,65.0,2,20.0
4522,591407999,1668523281,3.0,0,10.0
4523,591407999,591408000,6.0,2,20.0
4524,591407999,92159669,26.0,1,15.0
4525,591408000,591407999,6.0,2,20.0
4526,591408000,1668523281,6.0,1,15.0
4527,591408000,591398359,43.0,1,15.0
4528,591408000,1668523294,34.0,0,10.0
4529,30944133,1713449452,16.0,0,10.0
4530,30944133,356083796,46.0,2,20.0
4531,591408008,591408082,4.0,0,10.0
4532,591408008,4520380452,2.0,1,15.0
4533,591408008,591408187,112.0,1,15.0
4534,30944137,269335114,15.0,2,20.0
4535,30944137,376145144,59.0,1,15.0
4536,591408010,4520380455,2.0,2,20.0
4537,591408010,591408086,4.0,1,15.0
4538,591408010,591408009,23.0,1,15.0
4539,591408009,4520380453,2.0,2,20.0
4540,591408009,591408008,20.0,0,10.0
4541,591408006,591397296,9.0,2,20.0
4542,591408006,41675699,28.0,2,20.0
4543,591408006,591408004,10.0,1,15.0
4544,591408004,591397296,12.0,1,15.0
4545,591408004,591408006,10.0,1,15.0
4546,591408004,4520380451,7.0,1,15.0
4547,2312383367,207093453,28.0,1,15.0
4549,2312383367,207093451,48.0,1,15.0
4551,317729736,317729738,16.0,1,15.0
4552,317729736,317729737,54.0,1,15.0
4553,317729737,2189143648,12.0,0,10.0
4554,317729737,317729736,54.0,2,20.0
4555,317729738,317729740,18.0,2,20.0
4556,317729738,317729739,46.0,1,15.0
4557,317729739,317729737,16.0,2,20.0
4558,317729739,317729738,46.0,1,15.0
4559,317729740,317729759,19.0,2,20.0
4560,317729740,317729741,37.0,0,10.0
4561,317729741,317729739,21.0,0,10.0
4562,317729741,317729740,37.0,0,10.0
4563,591408078,111295073,4.0,1,15.0
4564,591408078,591408080,71.0,1,15.0
4565,591408080,591408187,4.0,1,15.0
4566,591408080,4520380449,2.0,0,10.0
4567,591408080,591408082,112.0,0,10.0
4568,591408082,4520380451,2.0,0,10.0
4569,591408082,591408008,4.0,1,15.0
4570,591408082,591408084,17.0,1,15.0
4571,591408084,591408009,4.0,1,15.0
4572,591408084,591408086,24.0,2,20.0
4573,591408086,591408010,4.0,1,15.0
4574,591408086,4520380456,2.0,1,15.0
4575,591408086,2189269638,35.0,1,15.0
4576,591408092,4520380449,6.0,0,10.0
4577,591408092,591399036,27.0,2,20.0
4578,576859101,2977758612,3.0,0,10.0
4579,576859101,60095425,6.0,1,15.0
4580,317729759,703554589,19.0,0,10.0
4581,317729759,317729767,27.0,1,15.0
4582,153758691,5402876165,13.0,1,15.0
4583,153758691,579398336,30.0,2,20.0
4584,153758691,579402454,156.0,0,10.0
4585,153758691,60096860,115.0,0,10.0
4586,317729767,317729741,21.0,1,15.0
4587,317729767,317729759,27.0,2,20.0
4588,777792497,317369536,7.0,2,20.0
4589,777792497,777793465,42.0,1,15.0
4590,777792497,777792533,122.0,1,15.0
4591,777792497,777790169,153.0,2,20.0
4592,576859145,576859255,20.0,1,15.0
4593,576859145,60095204,4.0,1,15.0
4594,777792533,777799144,8.0,1,15.0
4595,777792533,777753006,42.0,1,15.0
4596,777792533,777792497,122.0,1,15.0
4597,663497749,6167344583,7.0,0,10.0
4598,663497749,6167254932,62.0,1,15.0
4599,2023894038,2023894041,38.0,0,10.0
4600,2023894041,2023894038,38.0,0,10.0
4601,2023894041,1985549836,32.0,2,20.0
4602,358732471,4818305069,13.0,0,10.0
4604,358732471,54552181,14.0,0,10.0
4606,591408187,4520380448,2.0,1,15.0
4607,591408187,591408080,4.0,1,15.0
4608,591408187,111295073,71.0,1,15.0
4609,663497790,246076367,22.0,0,10.0
4610,663497790,6167254934,7.0,2,20.0
4611,591408190,4520380448,7.0,2,20.0
4612,591408190,591407783,69.0,1,15.0
4613,95562816,3222652695,16.0,1,15.0
4614,95562816,1112411413,29.0,0,10.0
4615,95562819,3222652699,71.0,2,20.0
4616,95562819,95562816,38.0,0,10.0
4617,95562821,202484608,79.0,1,15.0
4618,95562821,95562819,45.0,2,20.0
4619,95562828,583063751,120.0,1,15.0
4620,95562828,95562831,73.0,1,15.0
4621,95562828,95569469,142.0,1,15.0
4622,95562831,2976156563,89.0,2,20.0
4623,95562831,95562828,73.0,2,20.0
4624,95562831,95554479,244.0,0,10.0
4625,576859255,252587628,4.0,1,15.0
4626,576859255,576860007,7.0,1,15.0
4627,576859255,576841808,93.0,2,20.0
4628,2312383629,4584856893,31.0,2,20.0
4632,2312383629,1657117683,101.0,0,10.0
4634,591408272,591408273,4.0,1,15.0
4635,591408272,2189273813,88.0,1,15.0
4636,591408273,591392087,9.0,2,20.0
4637,591408273,591392065,23.0,2,20.0
4638,1201417384,123349509,27.0,2,20.0
4639,1201417384,1201417396,11.0,1,15.0
4641,1201417396,123338879,12.0,0,10.0
4642,1201417396,1201417384,11.0,1,15.0
4644,1236937911,5809093012,124.0,2,20.0
4646,1236937911,5231666418,149.0,1,15.0
4647,1236937911,4405283289,217.0,1,15.0
4648,127544547,128874960,74.0,0,10.0
4649,127544547,127544550,77.0,0,10.0
4650,127544547,2006038537,36.0,2,20.0
4651,127544547,1680889558,76.0,1,15.0
4652,3933088999,1492410184,28.0,1,15.0
4653,3933088999,1492383933,28.0,0,10.0
4654,127544550,127544547,77.0,2,20.0
4655,127544550,4698484073,13.0,2,20.0
4656,127544550,127538423,138.0,1,15.0
4657,581709069,581709083,207.0,0,10.0
4658,2975214867,5646660249,4.0,0,10.0
4659,2975214867,363400141,5.0,0,10.0
4660,2975214867,257505349,38.0,1,15.0
4661,2975214867,2975214868,24.0,0,10.0
4662,2975214868,363400141,25.0,2,20.0
4663,2975214868,363400139,7.0,2,20.0
4664,2975214868,2975214867,24.0,0,10.0
4665,581709083,581709429,26.0,1,15.0
4666,581709083,581709069,207.0,2,20.0
4667,581709083,581710135,71.0,2,20.0
4668,5712522539,5712522540,3.0,1,15.0
4669,5712522539,5712522541,2.0,1,15.0
4670,5712522539,5002706670,41229.0,1,15.0
4671,5712522539,2397324992,53.0,1,15.0
4672,5712522540,5712522539,3.0,2,20.0
4673,5712522540,5712522541,5.0,1,15.0
4675,5712522540,5457965892,76.0,2,20.0
4676,5712522541,5712522539,2.0,1,15.0
4677,5712522541,5712522540,5.0,2,20.0
4679,5712522541,5476597841,126.0,1,15.0
4680,4315295082,4315295088,13.0,0,10.0
4681,4315295084,4315295087,5.0,2,20.0
4682,4315295085,4315295086,4.0,0,10.0
4683,4315295086,4320615301,37.0,1,15.0
4684,4315295086,4315295085,4.0,1,15.0
4685,4315295086,4315295088,60.0,2,20.0
4686,4315295087,4320615301,39.0,0,10.0
4687,4315295087,4315295084,5.0,1,15.0
4688,4315295087,4315295098,64.0,1,15.0
4689,4315295088,4315295090,38.0,2,20.0
4690,4315295088,4315295082,13.0,2,20.0
4691,4315295088,4315295086,60.0,1,15.0
4692,4315295089,2776561964,83.0,1,15.0
4693,4315295090,4315295101,9.0,1,15.0
4694,4315295090,4320615301,61.0,1,15.0
4695,4315295090,4315295088,38.0,1,15.0
4696,4315295090,4315295098,22.0,1,15.0
4697,4315295098,4315295090,22.0,2,20.0
4698,4315295098,4315295100,9.0,1,15.0
4699,4315295098,4315295087,64.0,1,15.0
4700,4315295099,4315295100,9.0,1,15.0
4701,4315295100,4315295099,9.0,2,20.0
4702,4315295100,4315295098,9.0,2,20.0
4703,4315295100,4315295101,22.0,2,20.0
4704,4315295101,1449316621,31.0,1,15.0
4705,4315295101,4315295090,9.0,1,15.0
4706,4315295101,4315295100,22.0,1,15.0
4707,4315295102,4315295106,34.0,2,20.0
4708,4315295106,4315295102,34.0,2,20.0
4709,4315295106,248746678,57.0,1,15.0
4710,4315295106,302822341,72.0,1,15.0
4711,4315295108,248746686,176.0,2,20.0
4712,4315295108,4315295109,8.0,0,10.0
4713,4315295108,302822641,43.0,1,15.0
4714,4315295109,4315295108,8.0,0,10.0
4715,4315295110,302822641,53.0,2,20.0
4716,4315295113,2688454943,20.0,1,15.0
4717,4315295113,4157116177,59.0,1,15.0
4718,4315295113,356089330,15.0,1,15.0
4719,4975504800,1462398837,52.0,1,15.0
4720,4975504800,4975504801,4.0,1,15.0
4721,4975504800,1459890794,5.0,0,10.0
4722,4975504801,1462398911,19.0,2,20.0
4723,4975504801,1478663780,5.0,1,15.0
4724,4975504801,4975504800,4.0,2,20.0
4725,4975504802,4975504803,4.0,2,20.0
4726,4975504802,250774469,6.0,2,20.0
4727,4975504802,4975504804,26.0,2,20.0
4728,4975504803,1462398739,47.0,1,15.0
4729,4975504803,1459890798,5.0,2,20.0
4730,4975504803,4975504802,4.0,1,15.0
4731,443297188,1463620721,4.0,0,10.0
4732,443297188,1463620801,56.0,1,15.0
4733,4975504805,4975504803,26.0,0,10.0
4734,4975504805,1458418039,5.0,2,20.0
4735,4975504805,4975504804,4.0,1,15.0
4736,4975504804,4975504806,19.0,0,10.0
4737,4975504804,4975504805,4.0,1,15.0
4738,4975504804,1458418018,5.0,2,20.0
4739,4975504807,4975504805,19.0,0,10.0
4740,4975504807,1458418005,6.0,0,10.0
4741,4975504807,4975504806,4.0,1,15.0
4742,4975504806,4975504807,4.0,1,15.0
4743,4975504806,1458418011,5.0,0,10.0
4744,4975504806,1458418002,58.0,2,20.0
4745,2810326445,2810326446,4.0,1,15.0
4746,2810326445,477077883,23.0,2,20.0
4747,2810326446,2810326445,4.0,0,10.0
4750,252587482,54552821,9.0,1,15.0
4752,252587482,54552820,9.0,1,15.0
4754,708718060,708718061,15.0,1,15.0
4755,708718060,708721951,14.0,2,20.0
4756,708718060,708718180,82.0,0,10.0
4757,708718060,708718289,87.0,2,20.0
4758,708718061,708718062,19.0,2,20.0
4759,708718061,708718060,15.0,1,15.0
4760,708718061,708721588,82.0,0,10.0
4761,708718061,708721417,87.0,2,20.0
4762,708718062,708718061,19.0,2,20.0
4763,708718062,711331508,44.0,1,15.0
4764,708718062,711331520,39.0,0,10.0
4765,708718062,708722778,18.0,0,10.0
4766,589704714,589704716,4.0,1,15.0
4767,589704714,589702560,5.0,0,10.0
4768,589704716,1479930111,7.0,2,20.0
4769,589704716,291965986,6.0,1,15.0
4770,361770535,361770819,33.0,1,15.0
4771,361770535,361770719,43.0,2,20.0
4772,361770535,361770607,47.0,1,15.0
4773,361770537,361771293,44.0,1,15.0
4774,361770537,361770819,30.0,1,15.0
4775,361770537,233255296,44.0,0,10.0
4776,361770537,233255310,47.0,2,20.0
4777,361770538,361771408,31.0,2,20.0
4778,361770538,233262793,44.0,0,10.0
4779,4998966831,589450215,99.0,1,15.0
4781,4998966831,2948774564,10.0,2,20.0
4783,4998966831,4998966832,65.0,1,15.0
4784,4998966831,2324975791,4.0,0,10.0
4785,4998966832,4998966831,65.0,0,10.0
4786,4998966832,2324975784,34.0,1,15.0
4787,4998966832,2324975791,65.0,2,20.0
4788,4998966832,4998966834,42.0,0,10.0
4789,4998966834,2324975791,30.0,2,20.0
4791,4998966834,2324975784,43.0,0,10.0
4792,4998966834,4998966832,42.0,2,20.0
4793,591408716,6167247288,8.0,0,10.0
4794,591408716,4520380552,5.0,1,15.0
4795,796798542,767593284,6.0,0,10.0
4796,796798542,767647069,9.0,2,20.0
4797,591408731,2189272905,19.0,2,20.0
4798,591408731,1833110274,30.0,1,15.0
4799,708718180,708718060,82.0,1,15.0
4800,708718180,708721588,14.0,0,10.0
4801,708718180,708721951,83.0,2,20.0
4802,131214954,131215775,24.0,2,20.0
4803,131214954,6167489449,43.0,0,10.0
4804,252587628,576861863,4.0,2,20.0
4805,252587628,576859255,4.0,2,20.0
4806,252587628,60095204,20.0,2,20.0
4807,361770607,233255310,63.0,2,20.0
4808,361770607,361770535,47.0,1,15.0
4809,581709429,202767928,34.0,2,20.0
4810,581709429,581709083,26.0,0,10.0
4811,581709429,581709563,46.0,2,20.0
4812,252587670,259159143,68.0,0,10.0
4813,252587670,576841731,80.0,1,15.0
4814,591408809,103101100,7.0,1,15.0
4815,591408809,4520380479,5.0,2,20.0
4816,591408809,591408819,43.0,2,20.0
4817,1445473969,418539889,12.0,1,15.0
4818,1445473969,60088786,88.0,1,15.0
4819,1445473969,3983269231,51.0,2,20.0
4820,1445473970,418548634,39.0,1,15.0
4821,1445473970,3983269219,40.0,0,10.0
4822,1445473970,3983269218,49.0,2,20.0
4823,591408819,4520380433,4.0,1,15.0
4824,591408819,2189272905,5.0,1,15.0
4825,591408819,591408809,43.0,1,15.0
4826,591408819,591393322,26.0,1,15.0
4827,708718289,708718060,87.0,1,15.0
4828,708718289,708721952,15.0,1,15.0
4829,708718289,708721417,14.0,2,20.0
4830,4391710424,597546804,18.0,0,10.0
4831,4391710424,4391710425,98.0,0,10.0
4833,4391710424,6167441087,3.0,1,15.0
4834,4391710425,4391710424,98.0,2,20.0
4836,4391710425,5902824189,7.0,1,15.0
4837,4391710425,597546804,100.0,2,20.0
4838,361770719,233255272,41.0,1,15.0
4839,361770719,597633390,31.0,0,10.0
4840,361770719,361770535,43.0,2,20.0
4841,581709563,581709429,46.0,2,20.0
4842,581709563,581708504,202.0,1,15.0
4844,6202470164,582560124,14.0,1,15.0
4845,6202470164,5424203793,11.0,1,15.0
4846,6202470164,5424203825,35.0,1,15.0
4847,6202470179,266737766,14.0,1,15.0
4848,6202470179,266737768,28.0,2,20.0
4849,6202470179,6202471307,147.0,0,10.0
4850,6202470181,5424203785,29.0,0,10.0
4851,6202470181,5424203858,96.0,1,15.0
4852,6202470181,5424203828,49.0,2,20.0
4853,6202470183,582560135,6.0,2,20.0
4855,6202470183,5402876211,88.0,2,20.0
4856,6202470183,6202470182,44.0,1,15.0
4857,6143881000,6143901733,47.0,2,20.0
4858,6143881000,6097143772,74.0,1,15.0
4859,6143881000,6097185561,40.0,2,20.0
4860,6202470182,582560131,6.0,1,15.0
4862,6202470182,582560124,57.0,1,15.0
4863,6202470182,6202470183,44.0,1,15.0
4864,591277868,2173284650,19.0,1,15.0
4866,591277868,4391708628,61.0,0,10.0
4867,591277868,122741213,38.0,0,10.0
4868,361770819,361770537,30.0,2,20.0
4869,361770819,361770535,33.0,0,10.0
4870,361770819,361770843,43.0,1,15.0
4871,361770843,597633369,7.0,2,20.0
4872,361770843,361770819,43.0,0,10.0
4873,576860007,576859255,7.0,0,10.0
4874,576860007,575570540,9.0,2,20.0
4875,576860007,746921972,306.0,1,15.0
4876,1889677160,1889062900,2303.0,0,10.0
4877,576860018,266740437,22.0,0,10.0
4878,576860018,2977758614,13.0,1,15.0
4879,576860018,576860674,9.0,1,15.0
4880,576860029,576868445,6.0,1,15.0
4881,576860029,576860569,10.0,1,15.0
4882,576860029,60095438,30.0,0,10.0
4883,576860042,576856945,11.0,1,15.0
4884,576860042,576860063,10.0,2,20.0
4885,576860042,576860104,13.0,0,10.0
4886,576860055,60095425,9.0,1,15.0
4887,576860055,576860674,12.0,1,15.0
4888,576860055,576858149,3.0,0,10.0
4889,576860063,576860042,10.0,1,15.0
4890,576860063,575570542,6.0,1,15.0
4891,576860063,575570540,3.0,1,15.0
4892,777793457,317369538,15.0,2,20.0
4893,777793457,317369537,10.0,1,15.0
4894,777793457,777793465,27.0,1,15.0
4895,777793457,3215191973,25.0,1,15.0
4896,576860085,576860418,9.0,1,15.0
4897,576860085,576861863,7.0,0,10.0
4898,576860085,643991286,9.0,0,10.0
4899,777793465,777792497,42.0,1,15.0
4900,777793465,317369535,10.0,0,10.0
4901,777793465,3215191979,72.0,0,10.0
4902,777793465,777793457,27.0,1,15.0
4903,576860093,576860569,12.0,1,15.0
4904,576860093,576844518,15.0,2,20.0
4905,576860093,60095437,10.0,0,10.0
4906,777793471,317369540,22.0,1,15.0
4907,777793471,317369539,9.0,2,20.0
4908,777793471,777753006,31.0,2,20.0
4909,777793471,3215191979,20.0,1,15.0
4910,576860104,576860042,13.0,1,15.0
4911,576860104,2977758614,3.0,1,15.0
4912,576860104,60095426,11.0,2,20.0
4913,2204643278,233314946,2.0,1,15.0
4914,2204643278,372022726,45.0,0,10.0
4915,2204643278,4297530201,84.0,1,15.0
4916,2204643282,30287469,2.0,2,20.0
4917,2204643282,2204643304,91.0,1,15.0
4918,2204643284,233274958,2.0,1,15.0
4919,2204643284,384005174,34.0,0,10.0
4920,2204643284,2204643282,87.0,1,15.0
4921,2204643289,372022839,48.0,1,15.0
4922,2204643289,2204643278,115.0,2,20.0
4923,60305380,31435756,270.0,2,20.0
4924,60305380,60305419,1181.0,1,15.0
4925,60305380,1889062900,1438.0,0,10.0
4926,60305380,1888317293,1935.0,1,15.0
4927,2204643304,298099652,57.0,2,20.0
4928,2204643304,4297530198,110.0,0,10.0
4929,2204643308,361268957,41.0,1,15.0
4930,2204643308,233274958,2.0,2,20.0
4931,2204643308,2204638282,1305.0,1,15.0
4932,2960404462,591432433,3.0,1,15.0
4933,2960404462,2960003295,30.0,1,15.0
4935,2960404462,2960003289,147.0,1,15.0
4936,2204643315,233314776,2.0,0,10.0
4937,2204643315,2204643289,54.0,2,20.0
4938,2204643319,361268955,42.0,0,10.0
4939,2204643319,2204643308,87.0,2,20.0
4940,60305419,60305380,1181.0,2,20.0
4941,575533900,54560946,60.0,1,15.0
4943,575533900,6202471425,125.0,2,20.0
4944,575533900,3268156341,47.0,2,20.0
4945,30945324,2189377523,64.0,2,20.0
4946,2277912673,1728560667,47.0,0,10.0
4948,2277912673,1728560685,34.0,2,20.0
4950,2277912675,2277912676,55.0,2,20.0
4951,2277912675,2277912677,65.0,2,20.0
4952,2277912675,5448707279,8.0,0,10.0
4953,2277912676,2277912675,55.0,0,10.0
4954,2277912676,3098154902,38.0,1,15.0
4955,2277912676,2277912678,62.0,0,10.0
4956,2277912676,4887670714,76.0,2,20.0
4957,2277912677,2277912678,55.0,0,10.0
4958,2277912677,2277912679,63.0,2,20.0
4959,2277912677,2277912675,65.0,1,15.0
4960,2277912678,2277912677,55.0,0,10.0
4961,2277912678,3098154904,38.0,0,10.0
4962,2277912678,3098154906,29.0,1,15.0
4963,2277912678,2277912676,62.0,2,20.0
4964,2277912679,2277912680,54.0,0,10.0
4965,2277912679,2277912682,61.0,2,20.0
4966,2277912679,2277912677,63.0,1,15.0
4967,2277912680,2277912679,54.0,1,15.0
4968,2277912680,2277912698,61.0,1,15.0
4969,2277912680,3098154909,33.0,0,10.0
4970,2277912680,3098154906,35.0,1,15.0
4971,2277912688,578070441,51.0,2,20.0
4972,2277912688,3098154915,31.0,1,15.0
4973,2277912688,2277912686,62.0,0,10.0
4974,2277912688,3095063270,60.0,1,15.0
4975,2277912682,2277912683,53.0,2,20.0
4976,2277912682,2277912685,62.0,1,15.0
4977,2277912682,2277912679,61.0,1,15.0
4978,2277912683,2277912682,53.0,0,10.0
4979,2277912683,2277912686,61.0,2,20.0
4980,2277912683,3098154909,30.0,0,10.0
4981,2277912683,3098154912,59.0,0,10.0
4982,2277912686,2277912685,52.0,0,10.0
4983,2277912686,3098154917,32.0,1,15.0
4984,2277912686,2277912688,62.0,1,15.0
4985,2277912686,2277912683,61.0,1,15.0
4986,2277912685,2277912686,52.0,1,15.0
4987,2277912685,578070441,61.0,1,15.0
4988,2277912685,2277912682,62.0,1,15.0
4989,2277912698,529157848,7.0,1,15.0
4990,2277912698,2277912680,61.0,0,10.0
4991,2277912699,4871651915,46.0,2,20.0
4992,2277912699,2277912706,107.0,1,15.0
4993,2277912699,578070441,166.0,2,20.0
4994,2277912706,2277912705,20.0,2,20.0
4995,2277912706,2277912699,107.0,1,15.0
4996,2277912706,578070517,73.0,1,15.0
4997,2277912705,2277912706,20.0,1,15.0
4998,381825173,266733534,15.0,2,20.0
4999,381825173,376145063,58.0,0,10.0
5000,381825173,30944137,150.0,1,15.0
5001,577458192,577458190,43.0,2,20.0
5002,577458192,60092157,32.0,0,10.0
5003,2133733622,2133733623,263.0,0,10.0
5005,2133733622,2133731378,10.0,2,20.0
5006,2133733623,2133733622,263.0,0,10.0
5008,2133733623,277125762,5.0,1,15.0
5009,358732717,575375067,11.0,0,10.0
5011,358732717,575379459,10.0,1,15.0
5013,577458193,577458194,47.0,0,10.0
5014,577458193,577462683,34.0,1,15.0
5015,577458193,577458192,39.0,0,10.0
5016,252588302,3085953493,5.0,1,15.0
5017,252588302,576876304,5.0,2,20.0
5018,252588302,252588294,93.0,2,20.0
5019,252588303,6167344581,7.0,1,15.0
5020,252588303,1449431612,7.0,1,15.0
5021,252588317,576878121,7.0,1,15.0
5022,252588317,266736957,7.0,1,15.0
5023,252588317,3085953493,263.0,2,20.0
5024,361771293,361771408,27.0,1,15.0
5025,361771293,361770537,44.0,1,15.0
5026,361771293,361771319,43.0,1,15.0
5027,30945575,269335260,13.0,0,10.0
5028,30945575,6212296107,15.0,1,15.0
5029,581710135,581710139,89.0,0,10.0
5030,581710135,581709083,71.0,1,15.0
5031,581710135,3240572174,265.0,2,20.0
5032,361771319,361771610,27.0,2,20.0
5033,361771319,361771293,43.0,0,10.0
5034,581710139,202767933,35.0,2,20.0
5035,581710139,579999151,34.0,1,15.0
5036,581710139,581711294,26.0,1,15.0
5037,581710139,581710135,89.0,1,15.0
5038,581710140,581711294,21.0,1,15.0
5039,581710140,580000016,260.0,2,20.0
5040,581710140,581710144,45.0,0,10.0
5041,581710144,580000127,62.0,1,15.0
5042,581710144,581710140,45.0,0,10.0
5043,581710144,581713855,76.0,0,10.0
5044,5457981821,5457984810,71.0,2,20.0
5045,5457981821,5457981822,4.0,0,10.0
5048,30945662,3146813285,79.0,1,15.0
5049,30945662,269335418,14.0,1,15.0
5050,30945662,269335441,26.0,1,15.0
5051,5457981822,1728560657,94.0,1,15.0
5052,5457981822,5457981821,4.0,1,15.0
5055,774517121,774518101,12.0,1,15.0
5056,774517121,774517861,5.0,1,15.0
5057,361771408,361770538,31.0,1,15.0
5058,361771408,361771293,27.0,2,20.0
5059,361771408,361771610,43.0,0,10.0
5060,589443480,589443497,10.0,1,15.0
5061,589443480,2189506548,5.0,0,10.0
5062,589443480,589472356,4.0,1,15.0
5063,576860569,266740434,11.0,2,20.0
5064,576860569,576860029,10.0,0,10.0
5065,576860569,576860093,12.0,0,10.0
5066,576860570,266740434,4.0,1,15.0
5067,576860570,4380043591,26.0,1,15.0
5068,576860570,4380043487,47.0,1,15.0
5069,131215775,131215798,19.0,2,20.0
5070,131215775,6167231034,77.0,2,20.0
5071,1899901348,1899315556,1575.0,1,15.0
5072,589443497,2189506551,7.0,1,15.0
5073,589443497,589443480,10.0,2,20.0
5074,589443497,589449038,5.0,1,15.0
5075,131215798,131215775,19.0,0,10.0
5076,580530626,299029562,17.0,1,15.0
5079,30945778,1449316659,61.0,2,20.0
5080,30945778,1449316667,51.0,0,10.0
5081,252588540,54562179,12.0,1,15.0
5082,252588540,428647141,7.0,0,10.0
5083,252588540,1525908996,234.0,0,10.0
5084,576860674,266740436,7.0,1,15.0
5085,576860674,576860018,9.0,2,20.0
5086,576860674,576860055,12.0,2,20.0
5087,580530692,496572549,53.0,1,15.0
5088,580530692,496589352,107.0,1,15.0
5089,580530692,2613071319,82.0,2,20.0
5090,576860677,266740436,4.0,0,10.0
5091,576860677,4380043595,52.0,0,10.0
5092,576860677,576843200,83.0,1,15.0
5093,580530710,127715043,75.0,0,10.0
5094,580530710,127715023,49.0,1,15.0
5095,580530710,153690926,32.0,2,20.0
5096,579482160,579482274,29.0,0,10.0
5097,579482160,55931048,134.0,2,20.0
5098,579482160,3967630071,116.0,1,15.0
5099,1277988749,1277988785,27.0,1,15.0
5100,1277988749,1277988759,27.0,0,10.0
5101,1277988749,1124133087,56.0,1,15.0
5102,1277988749,3721154044,24.0,1,15.0
5103,1277988751,3130999258,57.0,1,15.0
5105,1277988751,1277988768,22.0,1,15.0
5108,1277988751,1277988791,66.0,2,20.0
5109,361771610,233262793,31.0,2,20.0
5110,361771610,361771408,43.0,1,15.0
5111,1375613544,581702905,15.0,1,15.0
5112,1375613544,4893683090,10.0,1,15.0
5113,1375613544,638044372,586.0,1,15.0
5114,92156522,243097404,11.0,0,10.0
5115,92156522,4398346301,14.0,1,15.0
5116,92156522,591432620,202.0,2,20.0
5117,1277988758,1277988768,14.0,0,10.0
5120,1277988758,3130999255,48.0,1,15.0
5123,1277988759,1277988755,27.0,2,20.0
